どこで	生れたか
見当が	つかぬ
所で	泣いていた
ニャーニャー	泣いていた
事だけは	記憶している
吾輩は	見た
ここで	始めて
ものを	見た
我々を	捕えて
掌に	載せられて
スーと	持ち上げられた
時	フワフワした
感じが	あったばかりである
上で	落ちついて
顔を	見たのが
人間と	いう
ものだと	思った
感じが	残っている
今でも	残っている
第一毛をもって	装飾されべきはずの
顔が	つるつるして
その後	逢ったが
猫にも	逢ったが
一度も	出会わした
真中が	突起している
中から	吹く
ぷうぷうと煙を	吹く
人間の	飲む
事は	知った
頃	知った
裏で	坐っておったが
心持に	坐っておったが
速力で	運転し始めた
書生が	動くのか
動くのか	動くのか
自分だけが	動くのか
動くのか	分らないが
眼が	廻る
胸が	悪くなる
音が	して
眼から	出た
火が	出た
それまでは	記憶しているが
記憶しているが	分らない
あとは	分らない
事やら	分らない
書生は	いない
たくさん	おった
兄弟が	見えぬ
一疋も	見えぬ
母親さえ	隠してしまった
姿を	隠してしまった
所とは	違って
眼を	明いていられぬくらいだ
吾輩は	棄てられたのである
上から	棄てられたのである
急に	棄てられたのである
中へ	棄てられたのである
思いで	這い出すと
笹原を	這い出すと
向うに	ある
池が	ある
吾輩は	見た
前に	坐って
分別も	出ない
書生が	来てくれるかと
試みに	やって
誰も	来ない
池の上を	渡って
風が	渡って
日が	暮れかかる
腹が	減って来た
非常に	減って来た
声が	出ない
食物の	ある
所まで	あるこうと
決心を	して
池を	廻り始めた
左りに	廻り始めた
そこを	我慢して
我慢して	這って行くと
事で	出た
所へ	出た
ここへ	這入ったら
竹垣の	崩れた
穴から	もぐり込んだ
邸内に	もぐり込んだ
もので	知れんのである
竹垣が	破れていなかったなら
吾輩は	知れんのである
路傍に	餓死したかも
餓死したかも	知れんのである
蔭とは	云った
穴は	なっている
今日に	至るまで
吾輩が	訪問する
三毛を	訪問する
通路に	なっている
邸へは	忍び込んだものの
うちに	暗くなる
腹は	減る
雨が	降って来るという
始末で	出来なくなった
猶予が	出来なくなった
方へ	あるいて行く
方へと	あるいて行く
今から	考えると
時は	這入っておったのだ
内に	這入っておったのだ
ここで	遭遇したのである
吾輩は	遭遇したのである
人間を	見るべき
再び	見るべき
機会に	遭遇したのである
第一に	逢ったのが
これは	抛り出した
書生より	見るや否や
方で	見るや否や
吾輩を	見るや否や
頸筋を	つかんで
表へ	抛り出した
駄目だと	思ったから
眼を	ねぶって
運を	任せていた
天に	任せていた
寒いのには	出来ん
我慢が	出来ん
吾輩は	這い上った
再び	見て
隙を	見て
台所へ	這い上った
吾輩は	這い上り
何でも	繰り返したのを
同じ事を	繰り返したのを
四五遍	繰り返したのを
繰り返したのを	記憶している
時に	おさんと
者は	いやになった
偸んで	してやってから
返報を	してやってから
痞が	下りた
吾輩が	つまみ出されようとした
最後に	つまみ出されようとした
ときに	出て来た
主人が	出て来た
何だと	いいながら
下女は	困りますと
吾輩を	ぶら下げて
方へ	向けて
小猫が	出しても
御台所へ	上って来て
主人は	眺めておったが
毛を	撚りながら
顔を	眺めておったが
内へ	置いてやれといったまま
置いてやれといったまま	這入ってしまった
奥へ	這入ってしまった
主人は	見えた
口を	聞かぬ
人と	見えた
下女は	抛り出した
口惜しそうに	抛り出した
吾輩を	抛り出した
台所へ	抛り出した
吾輩は	したのである
家を	極める
住家と	極める
事に	したのである
滅多に	合せる
顔を	合せる
学校から	帰ると
書斎に	這入った
ぎりほとんど	出て来る
勉強家だと	思っている
ものが	いうような
吾輩は	見るが
忍び足に	覗いて
書斎を	覗いて
彼は	ある
昼寝を	している
事が	ある
上に	たらしている
涎を	たらしている
彼は	あらわしている
胃弱で	帯びて
色が	帯びて
黄色を	帯びて
徴候を	あらわしている
癖に	食う
大飯を	食う
大飯を	食った
後で	飲む
タカジヤスターゼを	飲む
後で	ひろげる
書物を	ひろげる
二三ページ	読むと
涎を	垂らす
上へ	垂らす
これが	繰り返す
毎夜	繰り返す
吾輩は	ある
猫ながら	考える
事が	ある
人間と	生れたら
教師と	なるに
猫にでも	出来ぬ
主人に	云わせると
ないそうで	鳴らしている
彼は	鳴らしている
友達が	来る
度に	鳴らしている
不平を	鳴らしている
吾輩が	住み込んだ
家へ	住み込んだ
どこへ	行っても
相手に	してくれ
珍重されなかったかは	分る
今日に	至るまで
名前さえ	つけてくれないのでも
つけてくれないのでも	分る
限り	入れてくれた
吾輩を	入れてくれた
傍に	いる
事を	つとめた
朝主人が	読む
新聞を	読む
ときは	乗る
上に	乗る
彼が	する
昼寝を	する
ときは	乗る
背中に	乗る
これは	やむを得んのである
その後	した
上	した
朝は	した
上	した
夜は	した
上	した
昼は	した
椽側へ	寝る
事と	した
夜に	入って
寝床へ	もぐり込んで
いっしょに	ねる
小供というのは	寝る
三つで	なると
夜に	なると
二人が	寝る
一つ	寝る
床へ	入って
一間へ	寝る
吾輩は	割り込むのであるが
いつでも	見出して
中間に	見出して
己れを	見出して
余地を	見出して
こうにか	割り込むのであるが
割り込むのであるが	なる
一人が	醒ますが
眼を	醒ますが
事に	なる
小供は——	泣き出すのである
ことに	来た
方が	来た
質が	来た
わるい——猫が	来た
猫が	来たと
夜中でも	泣き出すのである
何でも	泣き出すのである
声で	泣き出すのである
主人は	飛び出してくる
眼を	さまして
部屋から	飛び出してくる
せんだってなどは	叩かれた
物指で	叩かれた
尻ぺたをひどく	叩かれた
吾輩は	断言せざるを得ないようになった
人間と	同居して
同居して	観察すれば
彼等を	観察すれば
観察すれば	する
彼等は	断言せざるを得ないようになった
ものだと	断言せざるを得ないようになった
吾輩が	同衾する
ごときに	至っては
時は	押し込んだりする
人を	したり
逆さに	したり
頭へ	かぶせたり
袋を	かぶせたり
中へ	押し込んだりする
方で	しようものなら
少しでも	しようものなら
手出しを	しようものなら
しようものなら	加える
家内総がかりで	追い廻して
迫害を	加える
この間も	磨いだら
畳で	磨いだら
爪を	磨いだら
細君が	怒って
非常に	怒って
それから	入れない
容易に	入れない
座敷へ	入れない
板の間で	顫えていても
他が	顫えていても
吾輩の	尊敬する
白君は	産まれたのである
子猫を	産まれたのである
四疋	産まれたのである
書生が	棄てて来たそうだ
三日目に	持って
そいつを	持って
池へ	持って
四疋ながら	棄てて来たそうだ
白君は	いわれた
涙を	流して
一部始終を	話した
上	剿滅せねばならぬと
等猫族が	するには
愛を	するには
完くして	するには
家族的生活を	するには
人間と	戦って
これを	剿滅せねばならぬと
剿滅せねばならぬと	いわれた
議論と	思う
三毛君などは	解していないと
事を	解していないと
同族間では	なっている
臍でも	見付けた
先に	見付けた
ものが	食う
これを	食う
権利が	ある
ものと	なっている
相手が	守らなければ
規約を	守らなければ
腕力に	訴えて
我等が	見付けた
御馳走は	掠奪せらるるのである
ために	掠奪せらるるのである
彼等は	すましている
強力を	頼んで
正当に	食い得べき
吾人が	食い得べき
ものを	奪って
白君は	持っている
家に	おり
三毛君は	持っている
主人を	持っている
家に	住んでいるだけ
その日	かこうにか
日が	かこうにか
人間だって	あるまい
いつまでも	栄える
事も	あるまい
まあ気を	待つが
時節を	待つが
我儘で	思い出したから
主人が	失敗した
我儘で	失敗した
話を	しよう
何といって	勝れて
人に	勝れて
何にでも	出したがる
手を	出したがる
俳句を	やって
ほととぎすへ	したり
投書を	したり
新体詩を	出したり
明星へ	出したり
英文を	かいたり
弓に	凝ったり
謡を	習ったりまた
ときは	鳴らしたりするが
ヴァイオリンなどを	鳴らしたりするが
事には	なっておらん
どれも	なっておらん
これも	なっておらん
物に	なっておらん
癖	やり出すと
中で	うたって
謡を	うたって
近所で	つけられているにも
